horsepower	highway-mpg	symboling	normalized-losses	make	fuel-type	aspiration	num-of-doors	body-style	drive-wheels	engine-location	wheel-base	length	width	height	curb-weight	engine-type	num-of-cylinders	engine-size	fuel-system	bore	stroke	compression-ratio	peak-rpm	city-mpg	price
62	32	0	91	toyota	gas	std	four	wagon	4wd	front	95.7	169.7	63.6	59.1	3110	ohc	four	92	2bbl	3.05	3.03	9	4800	27	8778
82	33	0	102	subaru	gas	std	four	sedan	fwd	front	97.2	172	65.4	52.5	2190	ohcf	four	108	2bbl	3.62	2.64	9.5	4400	28	7775
64	42	0	120.2325581	mazda	diesel	std	four	sedan	fwd	front	98.8	177.8	66.5	55.5	2443	ohc	four	122	idi	3.39	3.39	22.7	4650	36	10795
56	47	0	91	toyota	diesel	std	four	hatchback	fwd	front	95.7	166.3	64.4	52.8	2275	ohc	four	110	idi	3.27	3.35	22.5	4500	38	7788
56	47	0	91	toyota	diesel	std	four	hatchback	fwd	front	95.7	166.3	64.4	52.8	2275	ohc	four	110	idi	3.27	3.35	22.5	4500	38	7788
70	37	0	91	toyota	gas	std	four	sedan	fwd	front	95.7	166.3	64.4	53	2081	ohc	four	98	2bbl	3.19	3.03	9	4800	30	6938
142	24	0	161	peugot	gas	turbo	four	sedan	rwd	front	108	186.7	68.3	56	3130	l	four	134	mpfi	3.61	3.21	7	5600	18	18150
152	25	0	108	nissan	gas	std	four	sedan	fwd	front	100.4	184.6	66.5	55.1	3060	ohcv	six	181	mpfi	3.43	3.27	9	5200	19	13499
95	33	0	161	peugot	diesel	turbo	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3252	l	four	152	idi	3.7	3.52	21	4150	28	16900
62	37	0	77	toyota	gas	std	four	wagon	fwd	front	95.7	169.7	63.6	59.1	2280	ohc	four	92	2bbl	3.05	3.03	9	4800	31	6918
94	32	0	102	subaru	gas	std	four	sedan	fwd	front	97.2	172	65.4	52.5	2340	ohcf	four	108	mpfi	3.62	2.64	9	5200	26	9960
111	23	0	85	subaru	gas	turbo	four	wagon	4wd	front	96.9	173.6	65.4	54.9	2650	ohcf	four	108	mpfi	3.62	2.64	7.7	4800	23	11694
70	47	0	91	toyota	gas	std	four	sedan	fwd	front	95.7	166.3	64.4	53	2094	ohc	four	98	2bbl	3.19	3.03	9	4800	38	7738
97	34	0	106	nissan	gas	std	four	hatchback	fwd	front	97.2	173.4	65.2	54.7	2324	ohc	four	120	2bbl	3.33	3.47	8.5	5200	27	8949
184	16	0	120.2325581	mercedes-benz	gas	std	four	sedan	rwd	front	120.9	208.1	71.7	56.7	3900	ohcv	eight	308	mpfi	3.8	3.35	8	4500	14	40960
95	33	0	161	peugot	diesel	turbo	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3252	l	four	152	idi	3.7	3.52	21	4150	28	17950
82	25	0	102	subaru	gas	std	four	sedan	4wd	front	97	172	65.4	54.3	2385	ohcf	four	108	2bbl	3.62	2.64	9	4800	24	9233
70	34	0	91	toyota	gas	std	four	sedan	fwd	front	95.7	166.3	64.4	52.8	2140	ohc	four	98	2bbl	3.19	3.03	9	4800	28	9258
95	25	0	120.2325581	peugot	diesel	turbo	four	wagon	rwd	front	114.2	198.9	68.4	58.7	3485	l	four	152	idi	3.7	3.52	21	4150	25	17075
56	47	0	91	toyota	diesel	std	four	hatchback	fwd	front	95.7	166.3	64.4	52.8	2275	ohc	four	110	idi	3.27	3.35	22.5	4500	38	7788
70	43	0	81	chevrolet	gas	std	four	sedan	fwd	front	94.5	158.8	63.6	52	1909	ohc	four	90	2bbl	3.03	3.11	9.6	5400	38	6575
97	34	0	106	nissan	gas	std	four	sedan	fwd	front	97.2	173.4	65.2	54.7	2302	ohc	four	120	2bbl	3.33	3.47	8.5	5200	27	9549
82	32	0	89	subaru	gas	std	four	wagon	fwd	front	97	173.5	65.4	53	2290	ohcf	four	108	2bbl	3.62	2.64	9	4800	28	7463
82	33	0	102	subaru	gas	std	four	sedan	fwd	front	97.2	172	65.4	52.5	2190	ohcf	four	108	2bbl	3.62	2.64	9.5	4400	28	7775
70	37	0	91	toyota	gas	std	four	hatchback	fwd	front	95.7	166.3	64.4	52.8	2109	ohc	four	98	2bbl	3.19	3.03	9	4800	30	7198
111	29	0	102	subaru	gas	turbo	four	sedan	4wd	front	97	172	65.4	54.3	2510	ohcf	four	108	mpfi	3.62	2.64	7.7	4800	24	11259
184	16	0	120.2325581	mercedes-benz	gas	std	four	sedan	rwd	front	120.9	208.1	71.7	56.7	3900	ohcv	eight	308	mpfi	3.8	3.35	8	4500	14	40960
68	38	0	120.2325581	volkswagen	diesel	turbo	four	sedan	fwd	front	100.4	180.2	66.9	55.1	2579	ohc	four	97	idi	3.01	3.4	23	4500	33	13845
82	25	0	102	subaru	gas	std	four	sedan	4wd	front	97	172	65.4	54.3	2385	ohcf	four	108	2bbl	3.62	2.64	9	4800	24	9233
64	42	0	120.2325581	mazda	diesel	std	four	sedan	fwd	front	98.8	177.8	66.5	55.5	2443	ohc	four	122	idi	3.39	3.39	22.7	4650	36	10795
142	24	0	161	peugot	gas	turbo	four	sedan	rwd	front	108	186.7	68.3	56	3130	l	four	134	mpfi	3.61	3.21	7	5600	18	18150
88	31	0	120.2325581	volkswagen	gas	std	four	wagon	fwd	front	100.4	183.1	66.9	55.1	2563	ohc	four	109	mpfi	3.19	3.4	9	5500	25	12290
95	25	0	120.2325581	peugot	diesel	turbo	four	wagon	rwd	front	114.2	198.9	68.4	58.7	3485	l	four	152	idi	3.7	3.52	21	4150	25	17075
95	24	0	120.2325581	peugot	gas	std	four	wagon	rwd	front	114.2	198.9	68.4	56.7	3285	l	four	120	mpfi	3.46	2.19	8.4	5000	19	16695
152	25	0	108	nissan	gas	std	four	sedan	fwd	front	100.4	184.6	66.5	55.1	3060	ohcv	six	181	mpfi	3.43	3.27	9	5200	19	13499
95	33	0	161	peugot	diesel	turbo	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3197	l	four	152	idi	3.7	3.52	21	4150	28	13200
110	24	0	120.2325581	volkswagen	gas	std	four	sedan	fwd	front	100.4	180.2	66.9	55.1	2661	ohc	five	136	mpfi	3.19	3.4	8.5	5500	19	13295
97	24	0	161	peugot	gas	std	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3020	l	four	120	mpfi	3.46	3.19	8.4	5000	19	11900
94	32	0	102	subaru	gas	std	four	sedan	fwd	front	97.2	172	65.4	52.5	2340	ohcf	four	108	mpfi	3.62	2.64	9	5200	26	9960
95	33	0	161	peugot	diesel	turbo	four	sedan	rwd	front	107.9	186.7	68.4	56.7	3252	l	four	152	idi	3.7	3.52	21	4150	28	17950
70	34	0	91	toyota	gas	std	four	hatchback	fwd	front	95.7	166.3	64.4	52.8	2122	ohc	four	98	2bbl	3.19	3.03	9	4800	28	8358
70	37	0	91	toyota	gas	std	four	sedan	fwd	front	95.7	166.3	64.4	53	2081	ohc	four	98	2bbl	3.19	3.03	9	4800	30	6938
70	34	0	91	toyota	gas	std	four	sedan	fwd	front	95.7	166.3	64.4	52.8	2140	ohc	four	98	2bbl	3.19	3.03	9	4800	28	9258
95	24	0	120.2325581	peugot	gas	std	four	wagon	rwd	front	114.2	198.9	68.4	56.7	3285	l	four	120	mpfi	3.46	2.19	8.4	5000	19	16695
111	23	0	85	subaru	gas	turbo	four	wagon	4wd	front	96.9	173.6	65.4	54.9	2650	ohcf	four	108	mpfi	3.62	2.64	7.7	4800	23	11694
121	28	0	188	bmw	gas	std	two	sedan	rwd	front	101.2	176.8	64.8	54.3	2710	ohc	six	164	mpfi	3.31	3.19	9	4250	21	20970
184	16	0	120.2325581	mercedes-benz	gas	std	four	sedan	rwd	front	120.9	208.1	71.7	56.7	3900	ohcv	eight	308	mpfi	3.8	3.35	8	4500	14	40960
62	32	0	91	toyota	gas	std	four	wagon	4wd	front	95.7	169.7	63.6	59.1	3110	ohc	four	92	2bbl	3.05	3.03	9	4800	27	8778
82	25	0	102	subaru	gas	std	four	sedan	4wd	front	97	172	65.4	54.3	2385	ohcf	four	108	2bbl	3.62	2.64	9	4800	24	9233
140	20	1	158	audi	gas	turbo	four	sedan	fwd	front	105.8	192.7	71.4	55.9	3086	ohc	five	131	mpfi	3.13	3.4	8.3	5500	17	23875
69	37	1	128	nissan	gas	std	two	sedan	fwd	front	94.5	165.3	63.8	54.5	1889	ohc	four	97	2bbl	3.15	3.29	9.4	5200	31	5499
70	34	1	168	toyota	gas	std	two	hatchback	rwd	front	94.5	168.7	64	52.6	2204	ohc	four	98	2bbl	3.19	3.03	9	4800	29	8238
112	29	1	168	toyota	gas	std	two	sedan	rwd	front	94.5	168.7	64	52.6	2265	dohc	four	98	mpfi	3.24	3.08	9.4	6600	26	9298
68	38	1	148	dodge	gas	std	four	sedan	fwd	front	93.7	157.3	63.8	50.6	1989	ohc	four	90	2bbl	2.97	3.23	9.4	5500	31	6692
102	30	1	118	dodge	gas	turbo	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	2128	ohc	four	98	mpfi	3.03	3.39	7.6	5500	24	7957
69	37	1	103	nissan	gas	std	four	wagon	fwd	front	94.5	170.2	63.8	53.5	2037	ohc	four	97	2bbl	3.15	3.29	9.4	5200	31	7999
68	38	1	148	dodge	gas	std	four	hatchback	fwd	front	93.7	157.3	63.8	50.6	1967	ohc	four	90	2bbl	2.97	3.23	9.4	5500	31	6229
76	34	1	101	honda	gas	std	two	hatchback	fwd	front	93.7	150	64	52.6	1956	ohc	four	92	1bbl	2.91	3.41	9.2	6000	30	7129
68	41	1	119	plymouth	gas	std	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	1918	ohc	four	90	2bbl	2.97	3.23	9.4	5500	37	5572
68	38	1	113	mazda	gas	std	four	sedan	fwd	front	93.1	166.8	64.2	54.1	1950	ohc	four	91	2bbl	3.08	3.15	9	5000	31	7395
112	29	1	168	toyota	gas	std	two	sedan	rwd	front	94.5	168.7	64	52.6	2265	dohc	four	98	mpfi	3.24	3.08	9.4	6600	26	9298
68	38	1	154	plymouth	gas	std	four	sedan	fwd	front	93.7	167.3	63.8	50.8	2191	ohc	four	98	2bbl	2.97	3.23	9.4	5500	31	7609
112	29	1	168	toyota	gas	std	two	sedan	rwd	front	94.5	168.7	64	52.6	2265	dohc	four	98	mpfi	3.24	3.08	9.4	6600	26	9298
84	32	1	129	mazda	gas	std	two	hatchback	fwd	front	98.8	177.8	66.5	53.7	2385	ohc	four	122	2bbl	3.39	3.39	8.6	4800	26	10595
184	16	1	120.2325581	mercedes-benz	gas	std	two	hardtop	rwd	front	112	199.2	72	55.4	3715	ohcv	eight	304	mpfi	3.8	3.35	8	4500	14	45400
102	30	1	119	plymouth	gas	turbo	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	2128	ohc	four	98	spdi	3.03	3.39	7.6	5500	24	7957
68	38	1	148	dodge	gas	std	four	sedan	fwd	front	93.7	157.3	63.8	50.6	1989	ohc	four	90	2bbl	2.97	3.23	9.4	5500	31	6692
68	38	1	154	plymouth	gas	std	four	hatchback	fwd	front	93.7	157.3	63.8	50.6	1967	ohc	four	90	2bbl	2.97	3.23	9.4	5500	31	6229
175	24	1	120.2325581	mercury	gas	turbo	two	hatchback	rwd	front	102.7	178.4	68	54.8	2910	ohc	four	140	mpfi	3.78	3.12	8	5000	19	16503
140	20	1	158	audi	gas	turbo	four	sedan	fwd	front	105.8	192.7	71.4	55.9	3086	ohc	five	131	mpfi	3.13	3.4	8.3	5500	17	23875
70	34	1	168	toyota	gas	std	two	hatchback	rwd	front	94.5	168.7	64	52.6	2204	ohc	four	98	2bbl	3.19	3.03	9	4800	29	8238
68	38	1	148	dodge	gas	std	four	sedan	fwd	front	93.7	157.3	63.8	50.6	1989	ohc	four	90	2bbl	2.97	3.23	9.4	5500	31	6692
140	20	1	158	audi	gas	turbo	four	sedan	fwd	front	105.8	192.7	71.4	55.9	3086	ohc	five	131	mpfi	3.13	3.4	8.3	5500	17	23875
102	30	1	118	dodge	gas	turbo	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	2128	ohc	four	98	mpfi	3.03	3.39	7.6	5500	24	7957
102	30	1	119	plymouth	gas	turbo	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	2128	ohc	four	98	spdi	3.03	3.39	7.6	5500	24	7957
112	29	1	168	toyota	gas	std	two	sedan	rwd	front	94.5	168.7	64	52.6	2265	dohc	four	98	mpfi	3.24	3.08	9.4	6600	26	9298
62	38	1	87	toyota	gas	std	two	hatchback	fwd	front	95.7	158.7	63.6	54.5	2040	ohc	four	92	2bbl	3.05	3.03	9	4800	31	6338
68	38	1	154	plymouth	gas	std	four	sedan	fwd	front	93.7	167.3	63.8	50.8	1989	ohc	four	90	2bbl	2.97	3.23	9.4	5500	31	6692
76	34	1	101	honda	gas	std	two	hatchback	fwd	front	93.7	150	64	52.6	1956	ohc	four	92	1bbl	2.91	3.41	9.2	6000	30	7129
102	30	1	119	plymouth	gas	turbo	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	2128	ohc	four	98	spdi	3.03	3.39	7.6	5500	24	7957
112	29	1	168	toyota	gas	std	two	hatchback	rwd	front	94.5	168.7	64	52.6	2300	dohc	four	98	mpfi	3.24	3.08	9.4	6600	26	9538
68	38	1	113	mazda	gas	std	four	sedan	fwd	front	93.1	166.8	64.2	54.1	1950	ohc	four	91	2bbl	3.08	3.15	9	5000	31	7395
68	38	1	148	dodge	gas	std	four	sedan	fwd	front	93.7	157.3	63.8	50.6	1989	ohc	four	90	2bbl	2.97	3.23	9.4	5500	31	6692
62	39	1	87	toyota	gas	std	two	hatchback	fwd	front	95.7	158.7	63.6	54.5	1985	ohc	four	92	2bbl	3.05	3.03	9	4800	35	5348
69	37	1	128	nissan	gas	std	two	sedan	fwd	front	94.5	165.3	63.8	54.5	1889	ohc	four	97	2bbl	3.15	3.29	9.4	5200	31	5499
84	32	1	129	mazda	gas	std	two	hatchback	fwd	front	98.8	177.8	66.5	53.7	2385	ohc	four	122	2bbl	3.39	3.39	8.6	4800	26	10595
70	34	1	168	toyota	gas	std	two	hatchback	rwd	front	94.5	168.7	64	52.6	2204	ohc	four	98	2bbl	3.19	3.03	9	4800	29	8238
184	16	1	120.2325581	mercedes-benz	gas	std	two	hardtop	rwd	front	112	199.2	72	55.4	3715	ohcv	eight	304	mpfi	3.8	3.35	8	4500	14	45400
102	30	1	119	plymouth	gas	turbo	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	2128	ohc	four	98	spdi	3.03	3.39	7.6	5500	24	7957
112	29	1	168	toyota	gas	std	two	sedan	rwd	front	94.5	168.7	64	52.6	2265	dohc	four	98	mpfi	3.24	3.08	9.4	6600	26	9298
102	30	1	119	plymouth	gas	turbo	two	hatchback	fwd	front	93.7	157.3	63.8	50.8	2128	ohc	four	98	spdi	3.03	3.39	7.6	5500	24	7957
62	38	1	87	toyota	gas	std	two	hatchback	fwd	front	95.7	158.7	63.6	54.5	2040	ohc	four	92	2bbl	3.05	3.03	9	4800	31	6338
68	38	1	154	plymouth	gas	std	four	sedan	fwd	front	93.7	167.3	63.8	50.8	2191	ohc	four	98	2bbl	2.97	3.23	9.4	5500	31	7609
68	38	1	148	dodge	gas	std	four	hatchback	fwd	front	93.7	157.3	63.8	50.6	1967	ohc	four	90	2bbl	2.97	3.23	9.4	5500	31	6229
68	38	1	154	plymouth	gas	std	four	sedan	fwd	front	93.7	167.3	63.8	50.8	1989	ohc	four	90	2bbl	2.97	3.23	9.4	5500	31	6692
116	30	1.096045198	137	mitsubishi	gas	std	four	sedan	fwd	front	96.3	172.4	65.4	51.6	2403	ohc	four	110	spdi	3.17	3.46	7.5	5500	23	9279
114	28	1.096045198	95	volvo	gas	std	four	sedan	rwd	front	109.1	188.8	68.9	55.5	2952	ohc	four	141	mpfi	3.78	3.15	9.5	5400	23	16845
156	24	1.096045198	90	toyota	gas	std	four	sedan	rwd	front	104.5	187.8	66.5	54.1	3131	dohc	six	171	mpfi	3.27	3.35	9.2	5200	20	15690
114	28	1.096045198	74	volvo	gas	std	four	wagon	rwd	front	104.3	188.8	67.2	57.5	3034	ohc	four	141	mpfi	3.78	3.15	9.5	5400	23	13415
156	24	1.096045198	120.2325581	toyota	gas	std	four	wagon	rwd	front	104.5	187.8	66.5	54.1	3151	dohc	six	161	mpfi	3.27	3.35	9.2	5200	19	15750
92	34	1.096045198	65	toyota	gas	std	four	sedan	fwd	front	102.4	175.6	66.5	54.9	2326	ohc	four	122	mpfi	3.31	3.54	8.7	4200	29	8948
92	34	1.096045198	65	toyota	gas	std	four	sedan	fwd	front	102.4	175.6	66.5	54.9	2326	ohc	four	122	mpfi	3.31	3.54	8.7	4200	29	8948
160	25	1.096045198	95	volvo	gas	turbo	four	sedan	rwd	front	109.1	188.8	68.8	55.5	3049	ohc	four	141	mpfi	3.78	3.15	8.7	5300	19	19045
92	32	1.096045198	65	toyota	gas	std	four	hatchback	fwd	front	102.4	175.6	66.5	53.9	2414	ohc	four	122	mpfi	3.31	3.54	8.7	4200	27	9988
114	28	1.096045198	74	volvo	gas	std	four	wagon	rwd	front	104.3	188.8	67.2	57.5	3042	ohc	four	141	mpfi	3.78	3.15	9.5	5400	24	16515
134	23	1.096045198	95	volvo	gas	std	four	sedan	rwd	front	109.1	188.8	68.9	55.5	3012	ohcv	six	173	mpfi	3.58	2.87	8.8	5500	18	21485
88	30	1.096045198	74	plymouth	gas	std	four	wagon	fwd	front	103.3	174.6	64.6	59.8	2535	ohc	four	122	2bbl	3.35	3.46	8.5	5000	24	8921
156	24	1.096045198	90	toyota	gas	std	four	sedan	rwd	front	104.5	187.8	66.5	54.1	3131	dohc	six	171	mpfi	3.27	3.35	9.2	5200	20	15690
116	30	1.096045198	137	mitsubishi	gas	std	four	sedan	fwd	front	96.3	172.4	65.4	51.6	2403	ohc	four	110	spdi	3.17	3.46	7.5	5500	23	9279
88	30	1.096045198	74	plymouth	gas	std	four	wagon	fwd	front	103.3	174.6	64.6	59.8	2535	ohc	four	122	2bbl	3.35	3.46	8.5	5000	24	8921
114	28	1.096045198	74	volvo	gas	std	four	wagon	rwd	front	104.3	188.8	67.2	57.5	3042	ohc	four	141	mpfi	3.78	3.15	9.5	5400	24	16515
92	34	1.096045198	65	toyota	gas	std	four	sedan	fwd	front	102.4	175.6	66.5	54.9	2326	ohc	four	122	mpfi	3.31	3.54	8.7	4200	29	8948
114	28	1.096045198	74	volvo	gas	std	four	wagon	rwd	front	104.3	188.8	67.2	57.5	3034	ohc	four	141	mpfi	3.78	3.15	9.5	5400	23	13415
92	32	1.096045198	65	toyota	gas	std	four	hatchback	fwd	front	102.4	175.6	66.5	53.9	2458	ohc	four	122	mpfi	3.31	3.54	8.7	4200	27	11248
114	28	1.096045198	74	volvo	gas	std	four	wagon	rwd	front	104.3	188.8	67.2	57.5	3042	ohc	four	141	mpfi	3.78	3.15	9.5	5400	24	16515
73	33	1.096045198	65	toyota	diesel	turbo	four	sedan	fwd	front	102.4	175.6	66.5	54.9	2480	ohc	four	110	idi	3.27	3.35	22.5	4500	30	10698
106	27	1.096045198	95	volvo	diesel	turbo	four	sedan	rwd	front	109.1	188.8	68.9	55.5	3217	ohc	six	145	idi	3.01	3.4	23	4800	26	22470
114	25	1.096045198	95	volvo	gas	turbo	four	sedan	rwd	front	109.1	188.8	68.9	55.5	3062	ohc	four	141	mpfi	3.78	3.15	9.5	5400	19	22625
73	33	1.096045198	65	toyota	diesel	turbo	four	sedan	fwd	front	102.4	175.6	66.5	54.9	2480	ohc	four	110	idi	3.27	3.35	22.5	4500	30	10698
134	23	1.096045198	95	volvo	gas	std	four	sedan	rwd	front	109.1	188.8	68.9	55.5	3012	ohcv	six	173	mpfi	3.58	2.87	8.8	5500	18	21485
92	32	1.096045198	65	toyota	gas	std	four	hatchback	fwd	front	102.4	175.6	66.5	53.9	2458	ohc	four	122	mpfi	3.31	3.54	8.7	4200	27	11248
92	34	1.096045198	65	toyota	gas	std	four	sedan	fwd	front	102.4	175.6	66.5	54.9	2326	ohc	four	122	mpfi	3.31	3.54	8.7	4200	29	8948
162	22	1.096045198	74	volvo	gas	turbo	four	wagon	rwd	front	104.3	188.8	67.2	57.5	3157	ohc	four	130	mpfi	3.62	3.15	7.5	5100	17	18950
116	30	2	134	toyota	gas	std	two	hardtop	rwd	front	98.4	176.2	65.6	52	2679	ohc	four	146	mpfi	3.62	3.5	9.3	4800	24	11199
110	28	2	104	saab	gas	std	four	sedan	fwd	front	99.1	186.6	66.5	56.1	2758	ohc	four	121	mpfi	3.54	3.07	9.3	5250	21	15510
69	36	2	83	subaru	gas	std	two	hatchback	fwd	front	93.7	156.9	63.4	53.7	2050	ohcf	four	97	2bbl	3.62	2.36	9	4900	31	5118
69	37	2	168	nissan	gas	std	two	hardtop	fwd	front	95.1	162.4	63.8	53.3	2008	ohc	four	97	2bbl	3.15	3.29	9.4	5200	31	8249
116	30	2	134	toyota	gas	std	two	hardtop	rwd	front	98.4	176.2	65.6	52	2536	ohc	four	146	mpfi	3.62	3.5	9.3	4800	24	9639
68	41	2	161	mitsubishi	gas	std	two	hatchback	fwd	front	93.7	157.3	64.4	50.8	1918	ohc	four	92	2bbl	2.97	3.23	9.4	5500	37	5389
52	46	2	122	volkswagen	diesel	std	two	sedan	fwd	front	97.3	171.7	65.5	55.7	2261	ohc	four	97	idi	3.01	3.4	23	4800	37	7775
116	30	2	134	toyota	gas	std	two	hardtop	rwd	front	98.4	176.2	65.6	52	2679	ohc	four	146	mpfi	3.62	3.5	9.3	4800	24	11199
73	31	2	83	subaru	gas	std	two	hatchback	4wd	front	93.3	157.3	63.8	55.7	2240	ohcf	four	108	2bbl	3.62	2.64	8.7	4400	26	7603
116	30	2	134	toyota	gas	std	two	hatchback	rwd	front	98.4	176.2	65.6	52	2714	ohc	four	146	mpfi	3.62	3.5	9.3	4800	24	11549
85	34	2	122	volkswagen	gas	std	two	sedan	fwd	front	97.3	171.7	65.5	55.7	2209	ohc	four	109	mpfi	3.19	3.4	9	5250	27	7975
110	28	2	104	saab	gas	std	four	sedan	fwd	front	99.1	186.6	66.5	56.1	2758	ohc	four	121	mpfi	3.54	3.07	9.3	5250	21	15510
68	38	2	161	mitsubishi	gas	std	two	hatchback	fwd	front	93.7	157.3	64.4	50.8	1944	ohc	four	92	2bbl	2.97	3.23	9.4	5500	31	6189
102.591133	31	2	120.2325581	renault	gas	std	two	hatchback	fwd	front	96.1	176.8	66.6	50.5	2460	ohc	four	132	mpfi	3.46	3.9	8.7	5095.073892	23	9895
68	42	2	94	volkswagen	diesel	turbo	four	sedan	fwd	front	97.3	171.7	65.5	55.7	2319	ohc	four	97	idi	3.01	3.4	23	4500	37	9495
116	30	2	134	toyota	gas	std	two	hardtop	rwd	front	98.4	176.2	65.6	52	2540	ohc	four	146	mpfi	3.62	3.5	9.3	4800	24	8449
110	28	2	104	saab	gas	std	four	sedan	fwd	front	99.1	186.6	66.5	56.1	2758	ohc	four	121	mpfi	3.54	3.07	9.3	5250	21	15510
85	34	2	122	volkswagen	gas	std	two	sedan	fwd	front	97.3	171.7	65.5	55.7	2209	ohc	four	109	mpfi	3.19	3.4	9	5250	27	7975
52	46	2	94	volkswagen	diesel	std	four	sedan	fwd	front	97.3	171.7	65.5	55.7	2264	ohc	four	97	idi	3.01	3.4	23	4800	37	7995
69	37	2	168	nissan	gas	std	two	hardtop	fwd	front	95.1	162.4	63.8	53.3	2008	ohc	four	97	2bbl	3.15	3.29	9.4	5200	31	8249
116	30	2	134	toyota	gas	std	two	hardtop	rwd	front	98.4	176.2	65.6	52	2679	ohc	four	146	mpfi	3.62	3.5	9.3	4800	24	11199
85	34	2	122	volkswagen	gas	std	two	sedan	fwd	front	97.3	171.7	65.5	55.7	2209	ohc	four	109	mpfi	3.19	3.4	9	5250	27	7975
160	26	2	104	saab	gas	turbo	four	sedan	fwd	front	99.1	186.6	66.5	56.1	2847	dohc	four	121	mpfi	3.54	3.07	9	5500	19	18620
85	34	2	94	volkswagen	gas	std	four	sedan	fwd	front	97.3	171.7	65.5	55.7	2275	ohc	four	109	mpfi	3.19	3.4	9	5250	27	8495
116	30	2	134	toyota	gas	std	two	hatchback	rwd	front	98.4	176.2	65.6	52	2714	ohc	four	146	mpfi	3.62	3.5	9.3	4800	24	11549
52	46	2	122	volkswagen	diesel	std	two	sedan	fwd	front	97.3	171.7	65.5	55.7	2261	ohc	four	97	idi	3.01	3.4	23	4800	37	7775
68	41	2	161	mitsubishi	gas	std	two	hatchback	fwd	front	93.7	157.3	64.4	50.8	1918	ohc	four	92	2bbl	2.97	3.23	9.4	5500	37	5389
73	31	2	83	subaru	gas	std	two	hatchback	4wd	front	93.3	157.3	63.8	55.7	2240	ohcf	four	108	2bbl	3.62	2.64	8.7	4400	26	7603
